name,area_mun_km2,total_focos
Abadia de Goiás,147.23099494340187,0.0
Abadiânia,1044.9249071451752,14.0
Acreúna,1566.0385842724202,5.0
Adelândia,115.82748656654363,2.0
Água Fria de Goiás,2032.7872785182965,20.0
Água Limpa,451.6470914950302,0.0
Águas Lindas de Goiás,191.55935403534502,5.0
Alexânia,847.7448133340661,3.0
Aloândia,101.53149998103697,0.0
Alto Horizonte,503.519402082355,7.0
Alto Paraíso de Goiás,2598.6040841913855,23.0
Alvorada do Norte,1266.2329895049468,36.0
Amaralina,1413.8588007959104,3.0
Americano do Brasil,133.35070174553428,0.0
Amorinópolis,407.8492862403848,0.0
Anápolis,918.9747770085851,17.0
Anhanguera,56.17705501436949,0.0
Anicuns,979.177438053798,4.0
Aparecida de Goiânia,287.2788371360618,2.0
Aparecida do Rio Doce,601.491079213769,1.0
Aporé,2900.1877049197105,6.0
Araçu,152.55020684536038,0.0
Aragarças,711.7979621034972,3.0
Aragoiânia,218.1567374333549,0.0
Araguapaz,2192.742863363647,15.0
Arenópolis,1074.8833331624971,0.0
Aruanã,3046.4740405420853,5.0
Aurilândia,562.6853903534228,6.0
Avelinópolis,163.3836690819853,0.0
Baliza,1784.0387140676278,5.0
Barro Alto,1092.9728991909517,5.0
Bela Vista de Goiás,1256.3386301415449,10.0
Bom Jardim de Goiás,1848.3775763927429,2.0
Bom Jesus de Goiás,1402.8196323181257,8.0
Bonfinópolis,123.1658502301324,2.0
Bonópolis,1627.8345694878062,6.0
Brazabrantes,122.84354632193144,0.0
Britânia,1459.4142865546148,5.0
Buriti Alegre,897.6917691929742,3.0
Buriti de Goiás,198.32005991706856,1.0
Buritinópolis,250.8560623938215,2.0
Cabeceiras,1128.750045448596,5.0
Cachoeira Alta,1653.3173609939424,1.0
Cachoeira de Goiás,416.30836619597085,0.0
Cachoeira Dourada,520.1670423029753,0.0
Caçu,2249.931868877798,3.0
Caiapônia,8645.548341627,26.0
Caldas Novas,1590.2370130043046,7.0
Caldazinha,250.2872745343811,1.0
Campestre de Goiás,273.2248544992736,4.0
Campinaçu,1976.2307807384789,18.0
Campinorte,1068.2833204624626,8.0
Campo Alegre de Goiás,2468.249876411008,5.0
Campo Limpo de Goiás,156.43563825807902,0.0
Campos Belos,728.3445174361894,6.0
Campos Verdes,440.82115122537965,4.0
Carmo do Rio Verde,417.54678425183477,2.0
Castelândia,296.43561830286956,2.0
Catalão,3824.937573641922,28.0
Caturaí,207.1374834515013,0.0
Cavalcante,6970.2493128759825,125.0
Ceres,214.06089375605907,0.0
Cezarina,415.4699318208401,3.0
Chapadão do Céu,2185.7018664706957,1.0
Cidade Ocidental,389.9514004820052,3.0
Cocalzinho de Goiás,1790.698914161507,4.0
Colinas do Sul,1711.5373029512525,21.0
Córrego do Ouro,462.52303723175305,0.0
Corumbá de Goiás,1063.827691678574,9.0
Corumbaíba,1883.6084651408687,6.0
Cristalina,6177.769817050675,40.0
Cristianópolis,226.34843101372928,0.0
Crixás,4657.327656591845,24.0
Cromínia,364.4557192935619,1.0
Cumari,580.309272467604,1.0
Damianópolis,416.70892996303047,2.0
Damolândia,83.55692765194948,0.0
Davinópolis,482.4091078251992,5.0
Diorama,685.5949266131596,6.0
Doverlândia,3207.1185348035515,5.0
Edealina,604.9396439837805,0.0
Edéia,1461.0433315954879,9.0
Estrela do Norte,302.3125770023176,2.0
Faina,1941.7709380518284,14.0
Fazenda Nova,1279.914112772332,1.0
Firminópolis,425.09565433016996,0.0
Flores de Goiás,3724.900142599434,30.0
Formosa,5824.997308172998,56.0
Formoso,845.7609046127149,9.0
Gameleira de Goiás,595.8416519664733,4.0
Divinópolis de Goiás,834.3772125732611,0.0
Goianápolis,162.49644509618722,3.0
Goiandira,561.3648050237609,0.0
Goianésia,1547.910563712595,29.0
Goiânia,738.4339586525746,9.0
Goianira,199.99877794668558,0.0
Goiás,3107.2152162355947,12.0
Goiatuba,2474.3511341307917,20.0
Gouvelândia,824.8551950859302,14.0
Guapó,517.0220809682047,4.0
Guaraíta,205.06826057131678,2.0
Guarani de Goiás,1234.4578784836558,5.0
Guarinos,596.331503750452,6.0
Heitoraí,228.9787734463964,1.0
Hidrolândia,944.2956890899575,1.0
Hidrolina,579.7775725355515,4.0
Iaciara,1634.192677449318,3.0
Inaciolândia,687.887200077218,4.0
Indiara,956.8085183117889,2.0
Inhumas,613.6832401658432,2.0
Ipameri,4372.51890829414,34.0
Ipiranga de Goiás,240.58511308436584,0.0
Iporá,1025.510627072795,1.0
Israelândia,577.103216874554,0.0
Itaberaí,1473.0877154189125,40.0
Itaguari,134.91782156593393,5.0
Itaguaru,239.82542106780778,0.0
Itajá,2088.229088546752,0.0
Itapaci,954.5235278981834,10.0
Itapirapuã,2040.7706736533507,1.0
Itapuranga,1276.5131748492524,9.0
Itarumã,3430.2742575691204,7.0
Itauçu,384.2794872702275,2.0
Itumbiara,2463.320814925166,14.0
Ivolândia,1259.068831231838,1.0
Jandaia,862.2750028933115,2.0
Jaraguá,1849.9545654130989,19.0
Jataí,7168.793290077634,13.0
Jaupaci,528.2956248832119,0.0
Jesúpolis,116.10932570432415,0.0
Joviânia,453.6206837817939,1.0
Jussara,4088.9045279244815,0.0
Lagoa Santa,457.68373692808854,0.0
Leopoldo de Bulhões,496.0860803097217,7.0
Luziânia,3967.712349414139,9.0
Mairipotaba,466.3765780440674,2.0
Mambaí,885.8476875792285,14.0
Mara Rosa,1704.1218253474838,3.0
Marzagão,228.04670133388996,0.0
Matrinchã,1149.681284471933,1.0
Maurilândia,394.2176545578036,0.0
Mimoso de Goiás,1388.594944118197,43.0
Minaçu,2864.745515990454,36.0
Mineiros,-9827.250018798912,0.0
Moiporá,459.78280178394755,2.0
Monte Alegre de Goiás,3131.517548816928,26.0
Montes Claros de Goiás,2897.319377143735,4.0
Montividiu,1875.0309117830225,33.0
Montividiu do Norte,1333.2362404794412,3.0
Morrinhos,2846.3721975677604,16.0
Morro Agudo de Goiás,282.9616633523445,0.0
Mossâmedes,682.990107663098,3.0
Mozarlândia,1731.1008653969623,6.0
Mundo Novo,2144.126601746982,1.0
Mutunópolis,868.1518727031078,0.0
Nazário,273.6616355601023,5.0
Nerópolis,203.82504842032944,6.0
Niquelândia,9855.252083339094,128.0
Nova América,211.7778288652841,5.0
