municipio,quantidade_focos
NIQUELÂNDIA,128
CAVALCANTE,125
SÃO MIGUEL DO ARAGUAIA,57
FORMOSA,56
NOVA ROMA,54
RIO VERDE,54
PADRE BERNARDO,43
MIMOSO DE GOIÁS,43
ITABERAÍ,40
CRISTALINA,40
ALVORADA DO NORTE,36
MINAÇU,36
IPAMERI,34
MONTIVIDIU,33
VILA PROPÍCIO,33
SÃO JOÃO D'ALIANÇA,32
SÃO DOMINGOS,31
URUAÇU,30
FLORES DE GOIÁS,30
GOIANÉSIA,29
CATALÃO,28
PLANALTINA,27
CAIAPÔNIA,26
MONTE ALEGRE DE GOIÁS,26
CRIXÁS,24
ALTO PARAÍSO DE GOIÁS,23
COLINAS DO SUL,21
SILVÂNIA,21
TERESINA DE GOIÁS,21
POSSE,21
ÁGUA FRIA DE GOIÁS,20
GOIATUBA,20
JARAGUÁ,19
SANTA ISABEL,19
CAMPINAÇU,18
ANÁPOLIS,17
PARAÚNA,17
MORRINHOS,16
PIRACANJUBA,15
PORANGATU,15
ARAGUAPAZ,15
ITUMBIARA,14
GOUVELÂNDIA,14
ABADIÂNIA,14
FAINA,14
SANTA CRUZ DE GOIÁS,14
MAMBAÍ,14
JATAÍ,13
SERRANÓPOLIS,13
GOIÁS,12
SÃO LUIZ DO NORTE,10
ITAPACI,10
PALESTINA DE GOIÁS,10
BELA VISTA DE GOIÁS,10
FORMOSO,9
CORUMBÁ DE GOIÁS,9
GOIÂNIA,9
ITAPURANGA,9
LUZIÂNIA,9
RIALMA,9
SANTO ANTÔNIO DO DESCOBERTO,9
NOVA GLÓRIA,9
EDÉIA,9
BOM JESUS DE GOIÁS,8
CAMPINORTE,8
SANTA HELENA DE GOIÁS,7
QUIRINÓPOLIS,7
PANAMÁ,7
ITARUMÃ,7
LEOPOLDO DE BULHÕES,7
VILA BOA,7
ALTO HORIZONTE,7
PALMINÓPOLIS,7
CALDAS NOVAS,7
CORUMBAÍBA,6
DIORAMA,6
CAMPOS BELOS,6
BONÓPOLIS,6
APORÉ,6
NOVA CRIXÁS,6
NOVO GAMA,6
GUARINOS,6
NERÓPOLIS,6
MOZARLÂNDIA,6
AURILÂNDIA,6
OUVIDOR,6
PIRENÓPOLIS,6
VARJÃO,5
TROMBAS,5
ÁGUAS LINDAS DE GOIÁS,5
VICENTINÓPOLIS,5
ITAGUARI,5
CAMPO ALEGRE DE GOIÁS,5
ARUANÃ,5
DAVINÓPOLIS,5
BARRO ALTO,5
BALIZA,5
ACREÚNA,5
CABECEIRAS,5
BRITÂNIA,5
GUARANI DE GOIÁS,5
NAZÁRIO,5
NOVA AMÉRICA,5
DOVERLÂNDIA,5
GUAPÓ,4
GAMELEIRA DE GOIÁS,4
HIDROLINA,4
MONTES CLAROS DE GOIÁS,4
TURVÂNIA,4
SANTA FÉ DE GOIÁS,4
SENADOR CANEDO,4
CAMPOS VERDES,4
COCALZINHO DE GOIÁS,4
CAMPESTRE DE GOIÁS,4
ANICUNS,4
PONTALINA,4
PIRES DO RIO,4
INACIOLÂNDIA,4
AMARALINA,3
PETROLINA DE GOIÁS,3
CIDADE OCIDENTAL,3
CEZARINA,3
CAÇU,3
ALEXÂNIA,3
ARAGARÇAS,3
BURITI ALEGRE,3
SÃO MIGUEL DO PASSA QUATRO,3
TRINDADE,3
RIO QUENTE,3
MARA ROSA,3
MOSSÂMEDES,3
GOIANÁPOLIS,3
IACIARA,3
MONTIVIDIU DO NORTE,3
UIRAPURU,3
PALMEIRAS DE GOIÁS,3
SANTA RITA DO NOVO DESTINO,3
PEROLÂNDIA,3
VALPARAÍSO DE GOIÁS,2
BURITINÓPOLIS,2
CASTELÂNDIA,2
DAMIANÓPOLIS,2
ESTRELA DO NORTE,2
BONFINÓPOLIS,2
TRÊS RANCHOS,2
VIANÓPOLIS,2
PORTELÂNDIA,2
PORTEIRÃO,2
ORIZONA,2
SANTA RITA DO ARAGUAIA,2
SÃO FRANCISCO DE GOIÁS,2
CARMO DO RIO VERDE,2
APARECIDA DE GOIÂNIA,2
ADELÂNDIA,2
BOM JARDIM DE GOIÁS,2
INDIARA,2
GUARAÍTA,2
NOVA AURORA,2
NOVA VENEZA,2
MOIPORÁ,2
JANDAIA,2
INHUMAS,2
ITAUÇU,2
PARANAIGUARA,2
MAIRIPOTABA,2
SANTA BÁRBARA DE GOIÁS,2
CACHOEIRA ALTA,1
FAZENDA NOVA,1
CUMARI,1
CROMÍNIA,1
CHAPADÃO DO CÉU,1
CALDAZINHA,1
APARECIDA DO RIO DOCE,1
BURITI DE GOIÁS,1
HEITORAÍ,1
NOVA IGUAÇU DE GOIÁS,1
MUNDO NOVO,1
JOVIÂNIA,1
MATRINCHÃ,1
IPORÁ,1
HIDROLÂNDIA,1
ITAPIRAPUÃ,1
IVOLÂNDIA,1
RUBIATABA,1
PROFESSOR JAMIL,1
PILAR DE GOIÁS,1
SIMOLÂNDIA,1
SÃO LUÍS DE MONTES BELOS,1
URUTAÍ,1
TURVELÂNDIA,1
URUANA,1
